"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","SIGI","RESTRRESASSETS","IDX","A","2019",4,
"BEL","SIGI","RESTRRESASSETS","IDX","A","2019",3.3,
"CZE","SIGI","RESTRRESASSETS","IDX","A","2019",11.9,
"DNK","SIGI","RESTRRESASSETS","IDX","A","2019",4.8,
"FIN","SIGI","RESTRRESASSETS","IDX","A","2019",3.8,
"FRA","SIGI","RESTRRESASSETS","IDX","A","2019",3.6,
"DEU","SIGI","RESTRRESASSETS","IDX","A","2019",13.1,
"GRC","SIGI","RESTRRESASSETS","IDX","A","2019",33.3,
"HUN","SIGI","RESTRRESASSETS","IDX","A","2019",23.4,
"IRL","SIGI","RESTRRESASSETS","IDX","A","2019",15.9,
"ITA","SIGI","RESTRRESASSETS","IDX","A","2019",8,
"LUX","SIGI","RESTRRESASSETS","IDX","A","2019",7.3,
"NLD","SIGI","RESTRRESASSETS","IDX","A","2019",5,
"POL","SIGI","RESTRRESASSETS","IDX","A","2019",15.3,
"PRT","SIGI","RESTRRESASSETS","IDX","A","2019",3.2,
"SVK","SIGI","RESTRRESASSETS","IDX","A","2019",7.5,
"ESP","SIGI","RESTRRESASSETS","IDX","A","2019",10.5,
"SWE","SIGI","RESTRRESASSETS","IDX","A","2019",2.1,
"BGR","SIGI","RESTRRESASSETS","IDX","A","2019",29.7,
"HRV","SIGI","RESTRRESASSETS","IDX","A","2019",29.1,
"CYP","SIGI","RESTRRESASSETS","IDX","A","2019",19.3,
"EST","SIGI","RESTRRESASSETS","IDX","A","2019",4.6,
"LVA","SIGI","RESTRRESASSETS","IDX","A","2019",4.6,
"LTU","SIGI","RESTRRESASSETS","IDX","A","2019",4.6,
"ROU","SIGI","RESTRRESASSETS","IDX","A","2019",7.1,
"SVN","SIGI","RESTRRESASSETS","IDX","A","2019",9,
"MLT","SIGI","RESTRRESASSETS","IDX","A","2019",4.9,
