"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","SIGI","RESTRCIVLIB","IDX","A","2019",12.1,
"BEL","SIGI","RESTRCIVLIB","IDX","A","2019",10.3,
"CZE","SIGI","RESTRCIVLIB","IDX","A","2019",26.3,
"DNK","SIGI","RESTRCIVLIB","IDX","A","2019",11,
"FIN","SIGI","RESTRCIVLIB","IDX","A","2019",18.3,
"FRA","SIGI","RESTRCIVLIB","IDX","A","2019",5.3,
"DEU","SIGI","RESTRCIVLIB","IDX","A","2019",14.3,
"GRC","SIGI","RESTRCIVLIB","IDX","A","2019",16.6,
"HUN","SIGI","RESTRCIVLIB","IDX","A","2019",27.6,
"IRL","SIGI","RESTRCIVLIB","IDX","A","2019",11.8,
"ITA","SIGI","RESTRCIVLIB","IDX","A","2019",8.9,
"LUX","SIGI","RESTRCIVLIB","IDX","A","2019",8.1,
"NLD","SIGI","RESTRCIVLIB","IDX","A","2019",21.1,
"POL","SIGI","RESTRCIVLIB","IDX","A","2019",12.5,
"PRT","SIGI","RESTRCIVLIB","IDX","A","2019",11.4,
"SVK","SIGI","RESTRCIVLIB","IDX","A","2019",24.4,
"ESP","SIGI","RESTRCIVLIB","IDX","A","2019",5.8,
"SWE","SIGI","RESTRCIVLIB","IDX","A","2019",16.2,
"BGR","SIGI","RESTRCIVLIB","IDX","A","2019",20.1,
"HRV","SIGI","RESTRCIVLIB","IDX","A","2019",17.9,
"CYP","SIGI","RESTRCIVLIB","IDX","A","2019",36.7,
"EST","SIGI","RESTRCIVLIB","IDX","A","2019",21.5,
"LVA","SIGI","RESTRCIVLIB","IDX","A","2019",27.7,
"LTU","SIGI","RESTRCIVLIB","IDX","A","2019",19.7,
"ROU","SIGI","RESTRCIVLIB","IDX","A","2019",22.1,
"SVN","SIGI","RESTRCIVLIB","IDX","A","2019",13.2,
"MLT","SIGI","RESTRCIVLIB","IDX","A","2019",26.3,
