"LOCATION,""INDICATOR"",""SUBJECT"",""MEASURE"",""FREQUENCY"",""TIME"",""Value"",""Flag Codes"""
"BEL,""SIGI"",""RESTRPHYSINTEG"",""IDX"",""A"",""2019"",8.4,"
"CZE,""SIGI"",""RESTRPHYSINTEG"",""IDX"",""A"",""2019"",12.8,"
"FRA,""SIGI"",""RESTRPHYSINTEG"",""IDX"",""A"",""2019"",6,"
"HUN,""SIGI"",""RESTRPHYSINTEG"",""IDX"",""A"",""2019"",17.1,"
"ITA,""SIGI"",""RESTRPHYSINTEG"",""IDX"",""A"",""2019"",14.7,"
"ESP,""SIGI"",""RESTRPHYSINTEG"",""IDX"",""A"",""2019"",11.7,"
"BGR,""SIGI"",""RESTRPHYSINTEG"",""IDX"",""A"",""2019"",15.6,"
"LVA,""SIGI"",""RESTRPHYSINTEG"",""IDX"",""A"",""2019"",15.7,"
"LTU,""SIGI"",""RESTRPHYSINTEG"",""IDX"",""A"",""2019"",9.3,"
"ROU,""SIGI"",""RESTRPHYSINTEG"",""IDX"",""A"",""2019"",7.7,"
"SVN,""SIGI"",""RESTRPHYSINTEG"",""IDX"",""A"",""2019"",7.1,"
"AUT,""SIGI"",""RESTRPHYSINTEG"",""IDX"",""A"",""2019"",7.7,"
"DNK,""SIGI"",""RESTRPHYSINTEG"",""IDX"",""A"",""2019"",10.2,"
"FIN,""SIGI"",""RESTRPHYSINTEG"",""IDX"",""A"",""2019"",16.4,"
"DEU,""SIGI"",""RESTRPHYSINTEG"",""IDX"",""A"",""2019"",14.5,"
"GRC,""SIGI"",""RESTRPHYSINTEG"",""IDX"",""A"",""2019"",9.3,"
"IRL,""SIGI"",""RESTRPHYSINTEG"",""IDX"",""A"",""2019"",18.5,"
"NLD,""SIGI"",""RESTRPHYSINTEG"",""IDX"",""A"",""2019"",13.5,"
"POL,""SIGI"",""RESTRPHYSINTEG"",""IDX"",""A"",""2019"",19.7,"
"PRT,""SIGI"",""RESTRPHYSINTEG"",""IDX"",""A"",""2019"",7.4,"
"SVK,""SIGI"",""RESTRPHYSINTEG"",""IDX"",""A"",""2019"",5.9,"
"SWE,""SIGI"",""RESTRPHYSINTEG"",""IDX"",""A"",""2019"",8.1,"
"HRV,""SIGI"",""RESTRPHYSINTEG"",""IDX"",""A"",""2019"",7,"
"CYP,""SIGI"",""RESTRPHYSINTEG"",""IDX"",""A"",""2019"",11.7,"
"EST,""SIGI"",""RESTRPHYSINTEG"",""IDX"",""A"",""2019"",7.3,"
"MLT,""SIGI"",""RESTRPHYSINTEG"",""IDX"",""A"",""2019"",28.4,"
"LUX,""SIGI"",""RESTRPHYSINTEG"",""IDX"",""A"",""2019"",NA,"
