"country,""latestRate"",""latestCount"",""latestCountYear"",""pop2021"""
"Austria,""10.4246"",""875"",""2010"",""9043.0700"""
"Belgium,""27.9218"",""2991"",""2010"",""11632.3260"""
"Bulgaria,""2.8155"",""211"",""2010"",""6896.6630"""
"Croatia,""3.2021"",""141"",""2010"",""4081.6510"""
"Cyprus,""2.4760"",""27"",""2009"",""1215.5840"""
"Czech Republic,""4.5978"",""480"",""2009"",""10724.5550"""
"Denmark,""6.3712"",""352"",""2009"",""5813.2980"""
"Deutschland,""9.3849"",""7724"",""2010"",""83900.4730"""
"Estonia,""6.0396"",""81"",""2010"",""1325.1850"""
"Finland,""15.2483"",""818"",""2010"",""5548.3600"""
"France,""16.1871"",""10108"",""2009"",""65426.1790"""
"Greece,""1.8927"",""215"",""2010"",""10370.7440"""
"Hungary,""2.4640"",""246"",""2010"",""9634.1640"""
"Ireland,""10.7161"",""479"",""2010"",""4982.9070"""
"Italy,""7.6385"",""4513"",""2006"",""60367.4770"""
"Latvia,""3.4635"",""78"",""2010"",""1866.9420"""
"Lithuania,""6.2583"",""208"",""2010"",""2689.8620"""
"Luxembourg,""11.7096"",""57"",""2008"",""634.8140"""
"Malta,""2.6410"",""11"",""2010"",""442.7840"""
"Netherlands,""9.2097"",""1530"",""2010"",""17173.0990"""
"Poland,""4.0939"",""1567"",""2010"",""37797.0050"""
"Portugal,""3.9717"",""424"",""2010"",""10167.9250"""
"Romania,""4.6756"",""1007"",""2009"",""19127.7740"""
"Slovakia,""2.6046"",""142"",""2009"",""5460.7210"""
"Slovenia,""3.1039"",""63"",""2010"",""2078.7240"""
"Spain,""3.42"",""1.578"",""2010"",""46745.216"""
"Sweden,""63.5416"",""5960"",""2010"",""10160.1690"""
