"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.25,
"BEL","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.5,
"CZE","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"DNK","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.5,
"FIN","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"FRA","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.25,
"DEU","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"GRC","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.25,
"HUN","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"IRL","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.25,
"ITA","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"LUX","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"NLD","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"POL","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"PRT","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.25,
"SVK","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.25,
"ESP","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.5,
"SWE","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.25,
"BGR","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"HRV","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.25,
"CYP","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.25,
"EST","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.25,
"LVA","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.75,
"LTU","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.5,
"ROU","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.25,
"SVN","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.25,
"MLT","VIOLWOMEN","LAWDOMVIOL","IDX","A","2019",0.25,
