"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",13,
"BEL","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",24,
"CZE","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",21,
"DNK","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",32,
"FIN","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",30,
"FRA","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",26,
"DEU","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",22,
"GRC","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",19,
"HUN","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",21,
"IRL","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",15,
"ITA","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",19,
"LUX","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",22,
"NLD","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",25,
"POL","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",13,
"PRT","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",19,
"SVK","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",23,
"ESP","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",13,
"SWE","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",28,
"BGR","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",23,
"HRV","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",13,
"CYP","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",15,
"EST","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",20,
"LVA","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",32,
"LTU","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",24,
"ROU","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",24,
"SVN","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",13,
"MLT","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",15,
