"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2019",38.5,
"BEL","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2019",25,
"CZE","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2019",28.6,
"DNK","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2019",42.9,
"FIN","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2019",37.5,
"FRA","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2019",50,
"DEU","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2019",40,
"GRC","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2019",25,
"HUN","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2019",7.7,
"IRL","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2019",26.7,
"ITA","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2019",27.8,
"LUX","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2019",29.4,
"NLD","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2019",35.3,
"POL","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2019",27.3,
"PRT","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2019",29.4,
"SVK","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2019",35.7,
"ESP","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2019",64.7,
"SWE","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2019",54.5,
"EST","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2019",35.7,
"LVA","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2019",30.8,
"SVN","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2019",25,
"LTU","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2019",0,
