"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","WOMENPOLVOICE","POLREPRES","PC","A","2019",37.2,
"BEL","WOMENPOLVOICE","POLREPRES","PC","A","2019",38,
"CZE","WOMENPOLVOICE","POLREPRES","PC","A","2019",22.5,
"DNK","WOMENPOLVOICE","POLREPRES","PC","A","2019",37.4,
"FIN","WOMENPOLVOICE","POLREPRES","PC","A","2019",47,
"FRA","WOMENPOLVOICE","POLREPRES","PC","A","2019",39.7,
"DEU","WOMENPOLVOICE","POLREPRES","PC","A","2019",30.9,
"GRC","WOMENPOLVOICE","POLREPRES","PC","A","2019",18.7,
"HUN","WOMENPOLVOICE","POLREPRES","PC","A","2019",12.6,
"IRL","WOMENPOLVOICE","POLREPRES","PC","A","2019",22.2,
"ITA","WOMENPOLVOICE","POLREPRES","PC","A","2019",35.7,
"LUX","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"NLD","WOMENPOLVOICE","POLREPRES","PC","A","2019",31.3,
"POL","WOMENPOLVOICE","POLREPRES","PC","A","2019",29.1,
"PRT","WOMENPOLVOICE","POLREPRES","PC","A","2019",35.7,
"SVK","WOMENPOLVOICE","POLREPRES","PC","A","2019",20,
"ESP","WOMENPOLVOICE","POLREPRES","PC","A","2019",41.1,
"SWE","WOMENPOLVOICE","POLREPRES","PC","A","2019",47.3,
"BGR","WOMENPOLVOICE","POLREPRES","PC","A","2019",23.8,
"HRV","WOMENPOLVOICE","POLREPRES","PC","A","2019",18.5,
"CYP","WOMENPOLVOICE","POLREPRES","PC","A","2019",17.9,
"EST","WOMENPOLVOICE","POLREPRES","PC","A","2019",28.7,
"LVA","WOMENPOLVOICE","POLREPRES","PC","A","2019",31,
"LTU","WOMENPOLVOICE","POLREPRES","PC","A","2019",21.3,
"ROU","WOMENPOLVOICE","POLREPRES","PC","A","2019",20.7,
"SVN","WOMENPOLVOICE","POLREPRES","PC","A","2019",24.4,
"MLT","WOMENPOLVOICE","POLREPRES","PC","A","2019",11.9,
